property_id,rental_price,bedrooms,bathrooms,car_spaces,property_type,suburb,year,quarter,address
16770158,560.0,4,2,2,House,bonshaw,2024,4,"Estrella Street, Bonshaw, VIC 3352"
16905878,490.0,4,2,2,House,smythes creek,2024,4,"Patriot Crescent Smythes, Creek, VIC 3351"
17290763,450.0,4,2,2,House,miners rest,2024,4,"Waterford Drive Miners, Rest, VIC 3352"
17309046,530.0,4,2,2,House,smythes creek,2024,4,"Innurbruck Road Smythes, Creek, VIC 3351"
17331085,460.0,4,2,2,House,bonshaw,2024,4,"Ascot Gardens Drive, Bonshaw, VIC 3352"
17352780,230.0,1,1,2,House,bonshaw,2024,4,"121 Ascot Gardens Drive, Bonshaw, VIC 3352"
17364310,460.0,4,2,2,House,bonshaw,2024,4,"Withers Road, Bonshaw, VIC 3352"
17372830,580.0,4,2,2,House,bonshaw,2024,4,"Goldsborough Street, Bonshaw, VIC 3352"
17373366,480.0,4,2,2,House,bonshaw,2024,4,"Linkage Street, Bonshaw, VIC 3352"
17398538,485.0,4,2,4,House,smythes creek,2024,4,"Masada Boulevard Smythes, Creek, VIC 3351"
17399995,455.0,4,2,2,House,smythes creek,2024,4,"Auburn Drive Smythes, Creek, VIC 3351"
17280650,440.0,4,1,2,House,lakes entrance,2024,4,"Grandview Rd Lakes, Entrance, VIC 3909"
17355131,270.0,2,1,2,House,nhill,2024,4,"Townsend Street, Nhill, VIC 3418"
15415323,430.0,3,2,3,House,timboon,2024,4,", Timboon, VIC 3268"
17335423,400.0,3,1,3,House,timboon,2024,4,"Callaway Street, Timboon, VIC 3268"
17194710,960.0,2,2,1,Apartment / Unit / Flat,port melbourne,2024,4,"300 Plummer St Port, Melbourne, VIC 3207"
17348751,795.0,3,1,2,House,port melbourne,2024,4,"Raglan Street Port, Melbourne, VIC 3207"
17352880,700.0,2,1,1,Apartment / Unit / Flat,port melbourne,2024,4,"96 Bay Street Port, Melbourne, VIC 3207"
17362806,2900.0,4,3,2,House,port melbourne,2024,4,"Gellibrand Road Port, Melbourne, VIC 3207"
17371022,685.0,2,2,1,Apartment / Unit / Flat,port melbourne,2024,4,"52 Dow Street Port, Melbourne, VIC 3207"
17371445,1370.0,4,2,1,House,port melbourne,2024,4,"131 Bridge Street Port, Melbourne, VIC 3207"
17377491,735.0,2,1,2,House,port melbourne,2024,4,"Raglan Street Port, Melbourne, VIC 3207"
17377494,550.0,2,1,1,Apartment / Unit / Flat,port melbourne,2024,4,"174 Esplanade East Port, Melbourne, VIC 3207"
17379079,950.0,2,2,2,Apartment / Unit / Flat,port melbourne,2024,4,"1 Graham Street Port, Melbourne, VIC 3207"
17383079,1100.0,3,2,1,Apartment / Unit / Flat,port melbourne,2024,4,"39 Esplanade East Port, Melbourne, VIC 3207"
17387098,775.0,2,2,1,Apartment / Unit / Flat,port melbourne,2024,4,"216 Rouse Street Port, Melbourne, VIC 3207"
17390007,675.0,2,1,2,Apartment / Unit / Flat,port melbourne,2024,4,"2 Graham Street Port, Melbourne, VIC 3207"
17391033,525.0,1,1,1,Apartment / Unit / Flat,port melbourne,2024,4,"41 Nott Street Port, Melbourne, VIC 3207"
17394753,480.0,1,1,1,Apartment / Unit / Flat,port melbourne,2024,4,"165 Stokes Street Port, Melbourne, VIC 3207"
17397091,950.0,2,2,2,Apartment / Unit / Flat,port melbourne,2024,4,"127 Beach Street Port, Melbourne, VIC 3207"
17397931,1600.0,5,2,2,House,port melbourne,2024,4,"Page Avenue Port, Melbourne, VIC 3207"
17400129,870.0,3,2,2,House,port melbourne,2024,4,"Evans Street Port, Melbourne, VIC 3207"
17401700,950.0,2,2,2,Apartment / Unit / Flat,port melbourne,2024,4,"57 Bay Street Port, Melbourne, VIC 3207"
17403148,720.0,2,2,1,Apartment / Unit / Flat,port melbourne,2024,4,"93 Dow Street Port, Melbourne, VIC 3207"
17346543,620.0,4,2,2,House,point lonsdale,2024,4,"Chiton Way Point, Lonsdale, VIC 3225"
17347860,700.0,4,2,2,House,point lonsdale,2024,4,"Pico Avenue Point, Lonsdale, VIC 3225"
17348450,660.0,4,2,2,House,point lonsdale,2024,4,"Chiton Wy Point, Lonsdale, VIC 3225"
17362518,585.0,3,2,2,House,point lonsdale,2024,4,"17a Hillcrest Drive Point, Lonsdale, VIC 3225"
17382660,850.0,3,2,2,House,point lonsdale,2024,4,"Phelan Street Point, Lonsdale, VIC 3225"
17339032,600.0,4,2,2,House,gol gol,2024,4,"Mitchell Court Gol, Gol, NSW 2738"
17403712,885.0,3,1,1,House,st kilda east,2024,4,"Carrington Grove St Kilda, East, VIC 3183"
17403814,675.0,2,1,1,Apartment / Unit / Flat,elwood,2024,4,"5 Coleridge Street, Elwood, VIC 3184"
17403924,610.0,2,1,1,Apartment / Unit / Flat,elsternwick,2024,4,"540 Glen Huntly Rd, Elsternwick, VIC 3185"
17404355,725.0,2,1,1,Apartment / Unit / Flat,brighton,2024,4,"12 Canterbury Place, Brighton, VIC 3186"
17404553,340.0,1,1,1,Studio,st kilda east,2024,4,"26 Lansdowne Road St Kilda, East, VIC 3183"
17404641,675.0,2,1,1,Apartment / Unit / Flat,balaclava,2024,4,"305 Carlisle Street, Balaclava, VIC 3183"
17404642,525.0,1,1,1,Apartment / Unit / Flat,elwood,2024,4,"30 Selwyn Avenue, Elwood, VIC 3184"
17404967,450.0,1,1,1,Apartment / Unit / Flat,st kilda east,2024,4,"44 Alexandra Street St Kilda, East, VIC 3183"
17405350,825.0,2,2,1,Apartment / Unit / Flat,elsternwick,2024,4,"241 Glen Huntly Road, Elsternwick, VIC 3185"
17405580,585.0,2,1,1,Townhouse,brighton,2024,4,"90 Halifax Street, Brighton, VIC 3186"
17405721,480.0,2,1,1,Apartment / Unit / Flat,st kilda east,2024,4,"349 Orrong Road St Kilda, East, VIC 3183"
17405824,695.0,2,1,1,Apartment / Unit / Flat,st kilda east,2024,4,"13 Hughenden Road St Kilda, East, VIC 3183"
17406266,550.0,1,1,1,Apartment / Unit / Flat,balaclava,2024,4,"36 Dianella Lane, Balaclava, VIC 3183"
17406390,1025.0,2,2,2,Apartment / Unit / Flat,brighton,2024,4,"30 Rooding Street, Brighton, VIC 3186"
17406562,675.0,2,2,1,Apartment / Unit / Flat,elwood,2024,4,"9 Poets Grove, Elwood, VIC 3184"
17406837,390.0,1,1,1,Apartment / Unit / Flat,st kilda east,2024,4,"224 Inkerman Street St Kilda, East, VIC 3183"
15637219,610.0,3,2,1,House,glen waverley-mulgrave,2024,4,"Lotus Crescent, Mulgrave, VIC 3170"
16046924,650.0,3,2,1,Townhouse,rowville,2024,4,"14 Gilligans Court, Rowville, VIC 3178"
16180746,550.0,2,1,1,Townhouse,rowville,2024,4,"5 Denver Crescent, Rowville, VIC 3178"
16226519,590.0,3,1,2,House,rowville,2024,4,"The Fairway, Rowville, VIC 3178"
16630592,700.0,4,2,2,House,rowville,2024,4,"Waradgery Drive, Rowville, VIC 3178"
