bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
2,17616916.0,2025,POINT (145.151302 -38.197907),wayback,2,1,425.0,baxter,145.151302,1,-38.197907,Apartment / Unit / Flat
2,17195587.0,2024,POINT (145.157125 -38.197945),wayback,3,1,425.0,baxter,145.157125,1,-38.197945,Apartment / Unit / Flat
3,17182987.0,2024,POINT (145.1751 -38.196158),wayback,3,2,550.0,baxter,145.1751,4,-38.196158,Apartment / Unit / Flat
2,15914289.0,2022,POINT (145.265947 -37.83845),wayback,2,1,370.0,bayswater,145.265947,1,-37.83845,Apartment / Unit / Flat
2,16773948.0,2023,POINT (145.259872 -37.847229),wayback,4,1,390.0,bayswater,145.259872,1,-37.847229,Apartment / Unit / Flat
2,15901338.0,2022,POINT (145.264409 -37.843825),wayback,2,1,380.0,bayswater,145.264409,1,-37.843825,Apartment / Unit / Flat
2,17199341.0,2024,POINT (146.693157 -36.363303),wayback,3,1,360.0,beechworth,146.693157,1,-36.363303,Apartment / Unit / Flat
2,17199498.0,2024,POINT (146.685541 -36.357086),wayback,3,1,420.0,beechworth,146.685541,1,-36.357086,Apartment / Unit / Flat
2,17421409.0,2025,POINT (144.331381 -38.103654),wayback,1,1,410.0,bell post hill,144.331381,1,-38.103654,Apartment / Unit / Flat
1,16515655.0,2025,POINT (144.349221 -38.171065),wayback,2,1,330.0,belmont-grovedale,144.349221,1,-38.171065,Apartment / Unit / Flat
2,17134322.0,2024,POINT (144.346842 -38.18362),wayback,3,1,350.0,belmont-grovedale,144.346842,1,-38.18362,Apartment / Unit / Flat
2,17651529.0,2025,POINT (144.346793 -38.202812),wayback,2,1,435.0,belmont-grovedale,144.346793,1,-38.202812,Apartment / Unit / Flat
1,16388448.0,2023,POINT (145.985679 -36.54816),wayback,1,1,320.0,benalla,145.985679,1,-36.54816,Apartment / Unit / Flat
2,17038218.0,2024,POINT (145.972489 -36.548319),wayback,2,1,320.0,benalla,145.972489,1,-36.548319,Apartment / Unit / Flat
2,15167976.0,2022,POINT (145.985143 -36.543028),wayback,2,1,330.0,benalla,145.985143,1,-36.543028,Apartment / Unit / Flat
3,16386883.0,2023,POINT (145.996788 -36.559001),wayback,1,1,380.0,benalla,145.996788,2,-36.559001,Apartment / Unit / Flat
1,17433693.0,2025,POINT (144.271306 -36.753273),wayback,1,1,320.0,bendigo,144.271306,1,-36.753273,Apartment / Unit / Flat
1,17431585.0,2025,POINT (144.272559 -36.755981),wayback,1,1,275.0,bendigo,144.272559,1,-36.755981,Apartment / Unit / Flat
2,11172804.0,2022,POINT (144.267771 -36.747857),wayback,2,1,320.0,bendigo,144.267771,1,-36.747857,Apartment / Unit / Flat
2,15852679.0,2022,POINT (144.279105 -36.75999),wayback,2,1,425.0,bendigo,144.279105,1,-36.75999,Apartment / Unit / Flat
2,16942211.0,2025,POINT (144.281503 -36.760177),wayback,1,1,580.0,bendigo,144.281503,1,-36.760177,Apartment / Unit / Flat
2,16887915.0,2025,POINT (144.277678 -36.759225),wayback,1,2,780.0,bendigo,144.277678,1,-36.759225,Apartment / Unit / Flat
