bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
4,17703356,2025,POINT (144.5204549 -38.2698699),live,3,2,950.0,ocean grove-barwon heads,144.5204549,2,-38.2698699,house
4,17724545,2025,POINT (144.5102071 -38.2558257),live,3,2,800.0,ocean grove-barwon heads,144.5102071,2,-38.2558257,house
3,17754567,2025,POINT (144.5145854 -38.2646418),live,3,2,700.0,ocean grove-barwon heads,144.5145854,2,-38.2646418,townhouse
3,17758280,2025,POINT (144.527718 -38.2674271),live,3,1,480.0,ocean grove-barwon heads,144.527718,1,-38.2674271,apartment / unit / flat
4,17165436,2025,POINT (145.045204 -37.9048666),live,3,3,1250.0,ormond,145.045204,3,-37.9048666,townhouse
1,17752407,2025,POINT (145.0428324 -37.903566),live,3,1,480.0,ormond,145.0428324,1,-37.903566,apartment / unit / flat
2,17753532,2025,POINT (145.044502 -37.9026809),live,3,2,700.0,ormond,145.044502,1,-37.9026809,apartment / unit / flat
2,17707169,2025,POINT (145.0433348 -37.9045979),live,3,1,480.0,ormond,145.0433348,1,-37.9045979,apartment / unit / flat
3,17752555,2025,POINT (145.0394081 -37.9068387),live,3,2,880.0,ormond,145.0394081,2,-37.9068387,townhouse
4,17722664,2025,POINT (145.0278654 -37.9027),live,3,3,1200.0,ormond,145.0278654,3,-37.9027,house
2,17293147,2025,POINT (145.0451375 -37.9033452),live,3,2,700.0,ormond,145.0451375,1,-37.9033452,apartment / unit / flat
3,17753449,2025,POINT (145.0394081 -37.9068387),live,3,3,950.0,ormond,145.0394081,2,-37.9068387,townhouse
3,17609415,2025,POINT (145.026462 -37.905404),live,3,2,1350.0,ormond,145.026462,3,-37.905404,house
2,17702898,2025,POINT (145.0402795 -37.9022729),live,3,1,580.0,ormond,145.0402795,1,-37.9022729,apartment / unit / flat
2,15343674,2025,POINT (145.0488193 -37.9035913),live,3,1,600.0,ormond,145.0488193,1,-37.9035913,apartment / unit / flat
1,17721786,2025,POINT (145.0474979 -37.9028117),live,3,1,350.0,ormond,145.0474979,1,-37.9028117,apartment / unit / flat
4,17742147,2025,POINT (145.0491667 -37.9084444),live,3,4,1450.0,ormond,145.0491667,2,-37.9084444,townhouse
1,17749566,2025,POINT (145.0463679 -37.9029465),live,3,1,360.0,ormond,145.0463679,1,-37.9029465,apartment / unit / flat
2,17750657,2025,POINT (145.0431166 -37.902059),live,3,1,495.0,ormond,145.0431166,1,-37.902059,apartment / unit / flat
1,17155706,2025,POINT (145.0421814 -37.8997527),live,3,1,390.0,ormond,145.0421814,1,-37.8997527,apartment / unit / flat
2,17757060,2025,POINT (145.0402795 -37.9022729),live,3,1,580.0,ormond,145.0402795,1,-37.9022729,apartment / unit / flat
4,17733281,2025,POINT (145.4900668 -38.0646585),live,3,3,620.0,pakenham,145.4900668,2,-38.0646585,house
3,17733322,2025,POINT (145.4949583 -38.0711016),live,3,1,510.0,pakenham,145.4949583,2,-38.0711016,house
3,17724870,2025,POINT (145.4662817 -38.0740694),live,3,1,500.0,pakenham,145.4662817,2,-38.0740694,house
3,17741437,2025,POINT (145.4872021 -38.0598934),live,3,2,520.0,pakenham,145.4872021,2,-38.0598934,house
4,15818592,2025,POINT (145.4915248 -38.0778633),live,3,2,590.0,pakenham,145.4915248,2,-38.0778633,house
3,16283600,2025,POINT (145.4505809 -38.0775481),live,3,2,540.0,pakenham,145.4505809,2,-38.0775481,house
4,17747911,2025,POINT (145.4872616 -38.0875596),live,3,2,630.0,pakenham,145.4872616,2,-38.0875596,house
2,17753036,2025,POINT (145.5015279 -38.0686379),live,3,1,450.0,pakenham,145.5015279,2,-38.0686379,house
4,17753179,2025,POINT (145.5155429 -38.0783001),live,3,2,620.0,pakenham,145.5155429,2,-38.0783001,house
2,17753587,2025,POINT (145.4379409 -38.0741356),live,3,2,510.0,pakenham,145.4379409,1,-38.0741356,townhouse
2,17745502,2025,POINT (145.4833924 -38.0805957),live,3,1,480.0,pakenham,145.4833924,1,-38.0805957,apartment / unit / flat
3,17745542,2025,POINT (145.4565419 -38.057923),live,3,2,550.0,pakenham,145.4565419,2,-38.057923,house
3,17745555,2025,POINT (145.4964897 -38.0579055),live,3,2,560.0,pakenham,145.4964897,2,-38.0579055,house
4,17746800,2025,POINT (145.4420307 -38.0730776),live,3,2,620.0,pakenham,145.4420307,2,-38.0730776,house
4,17746890,2025,POINT (145.4957905 -38.0625564),live,3,3,590.0,pakenham,145.4957905,2,-38.0625564,house
4,17747314,2025,POINT (145.4878947 -38.0552869),live,3,2,600.0,pakenham,145.4878947,2,-38.0552869,house
2,17747578,2025,POINT (145.4557362 -38.0673126),live,3,2,460.0,pakenham,145.4557362,1,-38.0673126,townhouse
3,17747714,2025,POINT (145.4517057 -38.0754237),live,3,2,560.0,pakenham,145.4517057,2,-38.0754237,house
4,17717489,2025,POINT (145.5161216 -38.078378),live,3,2,575.0,pakenham,145.5161216,1,-38.078378,house
4,17717624,2025,POINT (145.4553065 -38.0663262),live,3,2,550.0,pakenham,145.4553065,2,-38.0663262,house
3,17717752,2025,POINT (145.4518345 -38.0843631),live,3,2,530.0,pakenham,145.4518345,1,-38.0843631,house
4,17719308,2025,POINT (145.4400443 -38.0599013),live,3,2,550.0,pakenham,145.4400443,2,-38.0599013,house
4,17719857,2025,POINT (145.5152164 -38.0767026),live,3,2,625.0,pakenham,145.5152164,2,-38.0767026,house
4,17720055,2025,POINT (145.4440286 -38.0625313),live,3,2,545.0,pakenham,145.4440286,2,-38.0625313,house
4,17723058,2025,POINT (145.470538 -38.0887368),live,3,2,600.0,pakenham,145.470538,2,-38.0887368,house
4,17723842,2025,POINT (145.5104305 -38.0630283),live,3,2,530.0,pakenham,145.5104305,2,-38.0630283,townhouse
3,17662665,2025,POINT (145.4553828 -38.06612399999999),live,3,2,580.0,pakenham,145.4553828,2,-38.06612399999999,townhouse
4,17667211,2025,POINT (145.4511635 -38.057595),live,3,2,560.0,pakenham,145.4511635,2,-38.057595,house
4,17730447,2025,POINT (145.4388602 -38.07979700000001),live,3,2,570.0,pakenham,145.4388602,2,-38.07979700000001,house
3,17737289,2025,POINT (145.490679 -38.0783374),live,3,2,530.0,pakenham,145.490679,2,-38.0783374,house
4,17741398,2025,POINT (145.4550577 -38.0530185),live,3,2,610.0,pakenham,145.4550577,2,-38.0530185,house
3,17742448,2025,POINT (145.4849624 -38.069578),live,3,1,580.0,pakenham,145.4849624,4,-38.069578,house
3,16852971,2025,POINT (145.447877 -38.059259),live,3,2,530.0,pakenham,145.447877,2,-38.059259,house
2,17745216,2025,POINT (145.4895984 -38.0788854),live,3,2,530.0,pakenham,145.4895984,1,-38.0788854,house
3,17746692,2025,POINT (145.4961161 -38.0605118),live,3,2,500.0,pakenham,145.4961161,2,-38.0605118,house
2,17746700,2025,POINT (145.5011991 -38.0586958),live,3,1,450.0,pakenham,145.5011991,1,-38.0586958,house
3,17660853,2025,POINT (145.4729733 -38.0767823),live,3,2,550.0,pakenham,145.4729733,2,-38.0767823,house
4,17672449,2025,POINT (145.515635 -38.0780201),live,3,2,580.0,pakenham,145.515635,2,-38.0780201,house
3,17680358,2025,POINT (145.4882202 -38.0764814),live,3,2,540.0,pakenham,145.4882202,1,-38.0764814,house
4,17681645,2025,POINT (145.4391762 -38.0792572),live,3,2,580.0,pakenham,145.4391762,2,-38.0792572,house
3,17702094,2025,POINT (145.5046159 -38.0650725),live,3,2,510.0,pakenham,145.5046159,2,-38.0650725,house
3,17709399,2025,POINT (145.4954103 -38.0603481),live,3,2,500.0,pakenham,145.4954103,2,-38.0603481,townhouse
4,17710556,2025,POINT (145.4397847 -38.08018),live,3,2,600.0,pakenham,145.4397847,3,-38.08018,house
3,17717565,2025,POINT (145.4409897 -38.0646496),live,3,2,585.0,pakenham,145.4409897,2,-38.0646496,house
3,17746703,2025,POINT (145.4946037 -38.0601225),live,3,2,500.0,pakenham,145.4946037,2,-38.0601225,house
3,17723520,2025,POINT (145.4808504 -38.0739005),live,3,2,570.0,pakenham,145.4808504,2,-38.0739005,townhouse
3,17750861,2025,POINT (145.4862067 -38.0875805),live,3,2,540.0,pakenham,145.4862067,2,-38.0875805,house
3,17751739,2025,POINT (145.4935217 -38.0597837),live,3,2,560.0,pakenham,145.4935217,2,-38.0597837,house
4,17751789,2025,POINT (145.4971479 -38.0619056),live,3,2,550.0,pakenham,145.4971479,2,-38.0619056,house
4,17045008,2025,POINT (145.4917958 -38.0611092),live,3,2,580.0,pakenham,145.4917958,2,-38.0611092,house
3,17752520,2025,POINT (145.4731217 -38.0712589),live,3,1,460.0,pakenham,145.4731217,2,-38.0712589,house
4,17153620,2025,POINT (145.4528052 -38.068537),live,3,2,720.0,pakenham,145.4528052,2,-38.068537,house
4,17153618,2025,POINT (145.4528052 -38.068537),live,3,2,720.0,pakenham,145.4528052,2,-38.068537,house
3,17735852,2025,POINT (145.4891094 -38.0725794),live,3,1,500.0,pakenham,145.4891094,2,-38.0725794,house
