property_id,coordinates
16306842,POINT (-37.5854874 145.0807603)
16306456,POINT (145.0776411 -37.8944779)
16306131,POINT (-36.7684381 144.2494806)
16301135,POINT (-37.8354028 144.6893411)
16301026,POINT (144.7414 -37.852094)
16299723,POINT (-37.804475 144.9749769)
16295730,POINT (-37.7940788 144.8903749)
16293707,POINT (144.8071738 -37.8681111)
16293595,POINT (-37.6998804 144.9345719)
16292970,POINT (-37.750928 144.9852468)
16292884,POINT (144.996784 -37.8007917)
16292575,POINT (-37.7192701 144.9409444)
16291425,POINT (144.6911566 -37.8694748)
16288911,POINT (-37.81525920000001 144.9534241)
16288248,POINT (-37.6153254 145.0144829)
16287336,POINT (147.6311115 -37.8273078)
16285841,POINT (-34.2018473 142.1509246)
16285406,POINT (145.1236604 -38.0777375)
16285105,POINT (145.4134039 -38.0745268)
16285078,POINT (-37.8679203 144.8433859)
16283968,POINT (-37.8369514 144.7020593)
16283797,POINT (147.082973 -38.093634)
16283600,POINT (-38.0775481 145.4505809)
16282040,POINT (-37.7154324 144.9962074)
16281972,POINT (145.1281836 -37.8313286)
16277730,POINT (145.3151445 -38.0376331)
16273082,POINT (144.8451769 -38.3869804)
16271158,POINT (146.4199174 -36.6567075)
16269155,POINT (145.1426117 -37.9042742)
16266185,POINT (-37.8247376 144.9617561)
16265313,POINT (-38.3864467 142.4880399)
16265093,POINT (145.2222437 -37.9873335)
16263798,POINT (-37.95776499999999 145.169651)
16262399,POINT (144.8802072 -37.6981453)
16261573,POINT (-37.8669427 145.1100618)
