property_id,longitude,latitude,coordinates
16951381,144.873327,-37.778575,POINT (-37.778575 144.873327)
16955235,144.882505,-37.779099,POINT (-37.779099 144.882505)
16956628,144.876682,-37.782468,POINT (-37.782468 144.876682)
16956630,144.876682,-37.782468,POINT (-37.782468 144.876682)
16963450,144.872445,-37.776777,POINT (-37.776777 144.872445)
16963528,144.873327,-37.778575,POINT (-37.778575 144.873327)
16967042,144.874148,-37.782381,POINT (-37.782381 144.874148)
16967215,144.865056,-37.786586,POINT (-37.786586 144.865056)
16970458,144.876281,-37.784607,POINT (-37.784607 144.876281)
10457861,145.034681,-37.863189,POINT (-37.863189 145.034681)
15638888,145.035188,-37.867684,POINT (-37.867684 145.035188)
16398071,145.038038,-37.848058,POINT (-37.848058 145.038038)
16853549,145.03514,-37.862262,POINT (-37.862262 145.03514)
16931996,145.034681,-37.863189,POINT (-37.863189 145.034681)
16933851,145.040611,-37.85395,POINT (-37.85395 145.040611)
16934420,145.041039,-37.853669,POINT (-37.853669 145.041039)
16944020,145.034939,-37.857461,POINT (-37.857461 145.034939)
16949998,145.037508,-37.856463,POINT (-37.856463 145.037508)
16950769,145.02911,-37.863719,POINT (-37.863719 145.02911)
16957763,145.040154,-37.858764,POINT (-37.858764 145.040154)
16960078,145.037012,-37.861946,POINT (-37.861946 145.037012)
16960208,145.036164,-37.851208,POINT (-37.851208 145.036164)
16960718,145.038767,-37.859122,POINT (-37.859122 145.038767)
16962324,145.039169,-37.857756,POINT (-37.857756 145.039169)
16964818,145.038087,-37.86383,POINT (-37.86383 145.038087)
16965183,145.039559,-37.859911,POINT (-37.859911 145.039559)
16965799,145.027817,-37.865589,POINT (-37.865589 145.027817)
16336242,144.708991,-38.191728,POINT (-38.191728 144.708991)
16524983,144.548176,-38.164085,POINT (-38.164085 144.548176)
16755596,144.713247,-38.171711,POINT (-38.171711 144.713247)
16851041,144.713247,-38.171711,POINT (-38.171711 144.713247)
16891214,144.575625,-38.151605,POINT (-38.151605 144.575625)
16891256,144.575625,-38.151605,POINT (-38.151605 144.575625)
16893544,144.575625,-38.151605,POINT (-38.151605 144.575625)
16896932,144.657829,-38.116809,POINT (-38.116809 144.657829)
16897416,144.565714,-38.163342,POINT (-38.163342 144.565714)
16900225,144.578822,-38.146202,POINT (-38.146202 144.578822)
16900850,144.71558,-38.157246,POINT (-38.157246 144.71558)
16901815,144.65322,-38.123256,POINT (-38.123256 144.65322)
16901985,144.66322,-38.116066,POINT (-38.116066 144.66322)
16901990,144.637529,-38.122176,POINT (-38.122176 144.637529)
16902245,144.713247,-38.171711,POINT (-38.171711 144.713247)
16902323,144.713247,-38.171711,POINT (-38.171711 144.713247)
16902781,144.556678,-38.16114,POINT (-38.16114 144.556678)
16903431,144.713247,-38.171711,POINT (-38.171711 144.713247)
16904218,144.654006,-38.12713,POINT (-38.12713 144.654006)
16905269,144.709816,-38.177044,POINT (-38.177044 144.709816)
7976939,144.957827,-37.820019,POINT (-37.820019 144.957827)
16912986,144.960737,-37.816442,POINT (-37.816442 144.960737)
16913100,144.97982,-37.849209,POINT (-37.849209 144.97982)
16913317,144.95649,-37.82042,POINT (-37.82042 144.95649)
16913581,144.960847,-37.811458,POINT (-37.811458 144.960847)
16913993,144.96834,-37.807831,POINT (-37.807831 144.96834)
16914318,144.956595,-37.820854,POINT (-37.820854 144.956595)
16914436,144.959639,-37.819396,POINT (-37.819396 144.959639)
16914439,144.966028,-37.814996,POINT (-37.814996 144.966028)
16914819,144.95662,-37.80955,POINT (-37.80955 144.95662)
16915202,144.960511,-37.807871,POINT (-37.807871 144.960511)
16915367,144.966831,-37.807682,POINT (-37.807682 144.966831)
16916292,144.96073,-37.808345,POINT (-37.808345 144.96073)
16916564,144.959239,-37.807122,POINT (-37.807122 144.959239)
16916566,144.959239,-37.807122,POINT (-37.807122 144.959239)
16916567,144.959239,-37.807122,POINT (-37.807122 144.959239)
16918363,144.960332,-37.811612,POINT (-37.811612 144.960332)
16918794,144.978682,-37.825071,POINT (-37.825071 144.978682)
