property_id,coordinates,stationid,min_route_dist_m,min_route_dur_s
15565425,POINT (144.867159 -37.791698),3799,166.02,26.48
15853672,POINT (144.873188 -37.796802),5902,83.67,8.6
15855154,POINT (144.878982 -37.799131),5905,274.57,63.62
15857907,POINT (144.86669 -37.790787),5897,363.94,38.79
15858754,POINT (144.867457 -37.796436),3921,92.89,10.44
15868378,POINT (144.868507 -37.806784),23244,268.77,35.32
15880787,POINT (144.867726 -37.796442),3921,125.67,15.93
15881855,POINT (144.870774 -37.800414),10240,140.26,16.82
15885776,POINT (144.869528 -37.797507),5901,153.39,30.81
15887146,POINT (144.86814 -37.793225),2553,103.35,13.89
15889118,POINT (144.865937 -37.793094),2553,296.98,41.77
15889290,POINT (144.878812 -37.798751),5905,291.63,67.72
13484754,POINT (145.181673 -37.912896),2200,389.29,76.42
15897825,POINT (145.188819 -37.906979),13028,101.42,10.43
15908560,POINT (145.172737 -37.907304),2203,269.68,54.96
15925492,POINT (145.162072 -37.908578),20375,196.08,44.92
15930649,POINT (145.180252 -37.918947),12157,254.43,54.3
15932730,POINT (145.190763 -37.904368),7678,336.42,74.03
15953132,POINT (145.168424 -37.913353),20377,72.59,14.17
15904066,POINT (144.998144 -37.855568),16778,363.66,37.92
15921249,POINT (144.983864 -37.851369),916,55.7,14.3
15922053,POINT (144.987627 -37.853849),915,403.46,70.17
15927622,POINT (144.983887 -37.851047),916,11.57,3.71
15934067,POINT (144.983764 -37.85435),22109,345.36,81.48
15934898,POINT (144.99465 -37.853515),15699,309.15,57.41
15945377,POINT (144.983725 -37.854567),22109,320.99,78.97
15951530,POINT (144.997911 -37.85574),16778,376.35,33.89
15951566,POINT (144.982712 -37.852054),916,227.13,39.36
15952339,POINT (144.998755 -37.857157),6569,335.6,67.74
15548547,POINT (146.867898 -36.133955),37370,463.06,60.53
15929639,POINT (146.87535 -36.14124),37386,300.49,26.5
15942611,POINT (146.886107 -36.127297),37413,336.68,41.03
15951217,POINT (146.895539 -36.141095),47051,638.16,104.14
15952880,POINT (146.890332 -36.127108),37412,730.73,83.15
15956047,POINT (146.886107 -36.127297),37413,336.68,41.03
15960252,POINT (146.907352 -36.131602),37408,451.25,83.45
15864932,POINT (146.005198 -36.020008),37630,1011.15,140.06
15885333,POINT (146.031891 -36.009372),37630,3915.49,376.28
15886549,POINT (146.032539 -36.005659),37630,4258.54,414.18
15889373,POINT (146.002852 -36.017586),37630,914.63,117.68
16000477,POINT (145.018034 -37.860881),398,19.52,2.01
16002976,POINT (145.025107 -37.864199),19019,158.06,21.16
16008043,POINT (145.021892 -37.860729),20733,247.92,48.93
16008468,POINT (145.019775 -37.859558),20674,24.37,1.95
16014317,POINT (145.026843 -37.852801),19064,226.06,47.44
16014790,POINT (145.015384 -37.854644),16772,1.73,0.18
16022526,POINT (145.017621 -37.853999),16771,237.07,51.06
16023282,POINT (145.016657 -37.854846),16772,112.23,11.54
16024992,POINT (145.015159 -37.850297),20680,29.59,7.1
