Statistic,Value,Suburb
Median total personal income ($/weekly),900.0,Kulwin (Vic.)
Median total family income ($/weekly),2625.0,Kulwin (Vic.)
Median total household income ($/weekly),2374.0,Kulwin (Vic.)
Median mortgage repayment ($/monthly),0.0,Kulwin (Vic.)
Median rent ($/weekly)(a),150.0,Kulwin (Vic.)
Average number of persons per bedroom,0.6,Kulwin (Vic.)
Average household size,2.1,Kulwin (Vic.)
Median age of persons,65.0,Piggoreet
Median total personal income ($/weekly),399.0,Piggoreet
Median total family income ($/weekly),1874.0,Piggoreet
Median total household income ($/weekly),949.0,Piggoreet
Median mortgage repayment ($/monthly),921.0,Piggoreet
Median rent ($/weekly)(a),0.0,Piggoreet
Average number of persons per bedroom,0.6,Piggoreet
Average household size,2.3,Piggoreet
Median age of persons,51.0,Smiths Beach
Median total personal income ($/weekly),635.0,Smiths Beach
Median total family income ($/weekly),1625.0,Smiths Beach
Median total household income ($/weekly),1181.0,Smiths Beach
Median mortgage repayment ($/monthly),1600.0,Smiths Beach
Median rent ($/weekly)(a),330.0,Smiths Beach
Average number of persons per bedroom,0.6,Smiths Beach
Average household size,2.1,Smiths Beach
Median age of persons,50.0,Fosterville
Median total personal income ($/weekly),599.0,Fosterville
Median total family income ($/weekly),1625.0,Fosterville
Median total household income ($/weekly),1550.0,Fosterville
Median mortgage repayment ($/monthly),2975.0,Fosterville
Median rent ($/weekly)(a),240.0,Fosterville
Average number of persons per bedroom,0.7,Fosterville
Average household size,2.3,Fosterville
Median age of persons,45.0,Pootilla
Median total personal income ($/weekly),737.0,Pootilla
Median total family income ($/weekly),2250.0,Pootilla
Median total household income ($/weekly),1624.0,Pootilla
Median mortgage repayment ($/monthly),2167.0,Pootilla
Median rent ($/weekly)(a),300.0,Pootilla
Average number of persons per bedroom,0.8,Pootilla
Average household size,2.6,Pootilla
Median age of persons,43.0,Warmur
Median total personal income ($/weekly),387.0,Warmur
Median total family income ($/weekly),2749.0,Warmur
Median total household income ($/weekly),2749.0,Warmur
Median mortgage repayment ($/monthly),0.0,Warmur
Median rent ($/weekly)(a),0.0,Warmur
Average number of persons per bedroom,0.9,Warmur
Average household size,3.6,Warmur
Median age of persons,57.0,Terrick Terrick
Median total personal income ($/weekly),774.0,Terrick Terrick
Median total family income ($/weekly),1250.0,Terrick Terrick
Median total household income ($/weekly),850.0,Terrick Terrick
Median mortgage repayment ($/monthly),444.0,Terrick Terrick
Median rent ($/weekly)(a),0.0,Terrick Terrick
Average number of persons per bedroom,0.5,Terrick Terrick
Average household size,1.4,Terrick Terrick
Median age of persons,53.0,Willowmavin
Median total personal income ($/weekly),850.0,Willowmavin
Median total family income ($/weekly),2437.0,Willowmavin
Median total household income ($/weekly),2055.0,Willowmavin
Median mortgage repayment ($/monthly),2167.0,Willowmavin
Median rent ($/weekly)(a),300.0,Willowmavin
Average number of persons per bedroom,0.7,Willowmavin
Average household size,2.4,Willowmavin
Median age of persons,41.0,Tyers
Median total personal income ($/weekly),891.0,Tyers
Median total family income ($/weekly),2302.0,Tyers
Median total household income ($/weekly),2051.0,Tyers
Median mortgage repayment ($/monthly),1517.0,Tyers
Median rent ($/weekly)(a),240.0,Tyers
Average number of persons per bedroom,0.7,Tyers
Average household size,2.6,Tyers
Median age of persons,41.0,Sunderland Bay
Median total personal income ($/weekly),738.0,Sunderland Bay
Median total family income ($/weekly),1803.0,Sunderland Bay
Median total household income ($/weekly),1264.0,Sunderland Bay
Median mortgage repayment ($/monthly),1300.0,Sunderland Bay
Median rent ($/weekly)(a),316.0,Sunderland Bay
Average number of persons per bedroom,0.7,Sunderland Bay
Average household size,2.3,Sunderland Bay
Median age of persons,49.0,Edgecombe
Median total personal income ($/weekly),680.0,Edgecombe
Median total family income ($/weekly),2100.0,Edgecombe
Median total household income ($/weekly),1781.0,Edgecombe
Median mortgage repayment ($/monthly),1730.0,Edgecombe
Median rent ($/weekly)(a),0.0,Edgecombe
Average number of persons per bedroom,0.7,Edgecombe
Average household size,2.6,Edgecombe
Median age of persons,48.0,Rokeby (Vic.)
Median total personal income ($/weekly),762.0,Rokeby (Vic.)
Median total family income ($/weekly),2146.0,Rokeby (Vic.)
Median total household income ($/weekly),1812.0,Rokeby (Vic.)
Median mortgage repayment ($/monthly),1647.0,Rokeby (Vic.)
Median rent ($/weekly)(a),261.0,Rokeby (Vic.)
Average number of persons per bedroom,0.8,Rokeby (Vic.)
Average household size,2.6,Rokeby (Vic.)
Median age of persons,50.0,Red Hill (Vic.)
Median total personal income ($/weekly),962.0,Red Hill (Vic.)
Median total family income ($/weekly),2607.0,Red Hill (Vic.)
Median total household income ($/weekly),2344.0,Red Hill (Vic.)
Median mortgage repayment ($/monthly),2167.0,Red Hill (Vic.)
Median rent ($/weekly)(a),461.0,Red Hill (Vic.)
Average number of persons per bedroom,0.8,Red Hill (Vic.)
Average household size,2.7,Red Hill (Vic.)
Median age of persons,54.0,Mirboo
Median total personal income ($/weekly),618.0,Mirboo
Median total family income ($/weekly),1399.0,Mirboo
Median total household income ($/weekly),1226.0,Mirboo
Median mortgage repayment ($/monthly),1300.0,Mirboo
Median rent ($/weekly)(a),203.0,Mirboo
Average number of persons per bedroom,0.7,Mirboo
Average household size,2.2,Mirboo
Median age of persons,41.0,Strathewen
Median total personal income ($/weekly),949.0,Strathewen
Median total family income ($/weekly),2405.0,Strathewen
Median total household income ($/weekly),2094.0,Strathewen
Median mortgage repayment ($/monthly),1950.0,Strathewen
Median rent ($/weekly)(a),351.0,Strathewen
Average number of persons per bedroom,0.9,Strathewen
Average household size,2.8,Strathewen
Median age of persons,58.0,Lillicur
Median total personal income ($/weekly),511.0,Lillicur
Median total family income ($/weekly),1437.0,Lillicur
Median total household income ($/weekly),1125.0,Lillicur
Median mortgage repayment ($/monthly),1225.0,Lillicur
Median rent ($/weekly)(a),210.0,Lillicur
Average number of persons per bedroom,0.9,Lillicur
Average household size,2.3,Lillicur
Median age of persons,43.0,Ringwood North
Median total personal income ($/weekly),882.0,Ringwood North
Median total family income ($/weekly),2640.0,Ringwood North
Median total household income ($/weekly),2335.0,Ringwood North
Median mortgage repayment ($/monthly),2200.0,Ringwood North
Median rent ($/weekly)(a),436.0,Ringwood North
Average number of persons per bedroom,0.8,Ringwood North
Average household size,2.8,Ringwood North
Median age of persons,40.0,Harkaway
Median total personal income ($/weekly),1026.0,Harkaway
Median total family income ($/weekly),2913.0,Harkaway
Median total household income ($/weekly),2805.0,Harkaway
Median mortgage repayment ($/monthly),2307.0,Harkaway
Median rent ($/weekly)(a),375.0,Harkaway
Average number of persons per bedroom,0.8,Harkaway
Average household size,3.2,Harkaway
Median age of persons,56.0,Whitlands
Median total personal income ($/weekly),899.0,Whitlands
Median total family income ($/weekly),1625.0,Whitlands
Median total household income ($/weekly),1375.0,Whitlands
Median mortgage repayment ($/monthly),2167.0,Whitlands
Median rent ($/weekly)(a),275.0,Whitlands
Average number of persons per bedroom,0.9,Whitlands
Average household size,2.1,Whitlands
Median age of persons,50.0,Karramomus
Median total personal income ($/weekly),762.0,Karramomus
Median total family income ($/weekly),1874.0,Karramomus
Median total household income ($/weekly),1687.0,Karramomus
Median mortgage repayment ($/monthly),2500.0,Karramomus
Median rent ($/weekly)(a),225.0,Karramomus
Average number of persons per bedroom,0.6,Karramomus
Average household size,2.4,Karramomus
Median age of persons,46.0,Traralgon East
Median total personal income ($/weekly),915.0,Traralgon East
Median total family income ($/weekly),2495.0,Traralgon East
Median total household income ($/weekly),2306.0,Traralgon East
Median mortgage repayment ($/monthly),1700.0,Traralgon East
Median rent ($/weekly)(a),400.0,Traralgon East
Average number of persons per bedroom,0.7,Traralgon East
Average household size,2.7,Traralgon East
Median age of persons,45.0,Grenville
Median total personal income ($/weekly),596.0,Grenville
Median total family income ($/weekly),1687.0,Grenville
Median total household income ($/weekly),1625.0,Grenville
Median mortgage repayment ($/monthly),2167.0,Grenville
Median rent ($/weekly)(a),0.0,Grenville
Average number of persons per bedroom,0.8,Grenville
Average household size,2.9,Grenville
Median age of persons,36.0,Swanwater West
Median total personal income ($/weekly),2099.0,Swanwater West
Median total family income ($/weekly),3999.0,Swanwater West
Median total household income ($/weekly),3999.0,Swanwater West
Median mortgage repayment ($/monthly),0.0,Swanwater West
Median rent ($/weekly)(a),100.0,Swanwater West
Average number of persons per bedroom,1.0,Swanwater West
Average household size,3.8,Swanwater West
Median age of persons,52.0,Jarrahmond
Median total personal income ($/weekly),612.0,Jarrahmond
Median total family income ($/weekly),1562.0,Jarrahmond
Median total household income ($/weekly),1166.0,Jarrahmond
Median mortgage repayment ($/monthly),1159.0,Jarrahmond
Median rent ($/weekly)(a),238.0,Jarrahmond
Average number of persons per bedroom,0.7,Jarrahmond
Average household size,2.4,Jarrahmond
Median age of persons,57.0,Goongerah
Median total personal income ($/weekly),466.0,Goongerah
Median total family income ($/weekly),724.0,Goongerah
Median total household income ($/weekly),537.0,Goongerah
Median mortgage repayment ($/monthly),574.0,Goongerah
Median rent ($/weekly)(a),104.0,Goongerah
Average number of persons per bedroom,0.9,Goongerah
Average household size,1.4,Goongerah
Median age of persons,42.0,Undera
Median total personal income ($/weekly),683.0,Undera
Median total family income ($/weekly),1735.0,Undera
Median total household income ($/weekly),1458.0,Undera
Median mortgage repayment ($/monthly),1180.0,Undera
Median rent ($/weekly)(a),235.0,Undera
Average number of persons per bedroom,0.8,Undera
Average household size,2.7,Undera
Median age of persons,59.0,Langi Logan
Median total personal income ($/weekly),575.0,Langi Logan
Median total family income ($/weekly),1999.0,Langi Logan
Median total household income ($/weekly),2124.0,Langi Logan
Median mortgage repayment ($/monthly),0.0,Langi Logan
Median rent ($/weekly)(a),175.0,Langi Logan
Average number of persons per bedroom,0.6,Langi Logan
Average household size,2.3,Langi Logan
Median age of persons,52.0,San Remo (Vic.)
Median total personal income ($/weekly),727.0,San Remo (Vic.)
Median total family income ($/weekly),1729.0,San Remo (Vic.)
Median total household income ($/weekly),1337.0,San Remo (Vic.)
Median mortgage repayment ($/monthly),1800.0,San Remo (Vic.)
Median rent ($/weekly)(a),301.0,San Remo (Vic.)
Average number of persons per bedroom,0.7,San Remo (Vic.)
Average household size,2.2,San Remo (Vic.)
Median age of persons,53.0,Orbost
Median total personal income ($/weekly),489.0,Orbost
Median total family income ($/weekly),1129.0,Orbost
Median total household income ($/weekly),785.0,Orbost
Median mortgage repayment ($/monthly),867.0,Orbost
Median rent ($/weekly)(a),190.0,Orbost
Average number of persons per bedroom,0.7,Orbost
Average household size,2.1,Orbost
Median age of persons,47.0,Merriang
Median total personal income ($/weekly),729.0,Merriang
Median total family income ($/weekly),2035.0,Merriang
Median total household income ($/weekly),1850.0,Merriang
Median mortgage repayment ($/monthly),2167.0,Merriang
Median rent ($/weekly)(a),300.0,Merriang
Average number of persons per bedroom,0.7,Merriang
Average household size,2.7,Merriang
Median age of persons,48.0,Rutherglen
Median total personal income ($/weekly),722.0,Rutherglen
Median total family income ($/weekly),1816.0,Rutherglen
Median total household income ($/weekly),1306.0,Rutherglen
Median mortgage repayment ($/monthly),1300.0,Rutherglen
Median rent ($/weekly)(a),250.0,Rutherglen
Average number of persons per bedroom,0.7,Rutherglen
Average household size,2.3,Rutherglen
Median age of persons,43.0,Fiery Flat
Median total personal income ($/weekly),824.0,Fiery Flat
Median total family income ($/weekly),2250.0,Fiery Flat
Median total household income ($/weekly),1708.0,Fiery Flat
Median mortgage repayment ($/monthly),680.0,Fiery Flat
Median rent ($/weekly)(a),0.0,Fiery Flat
Average number of persons per bedroom,0.8,Fiery Flat
Average household size,2.4,Fiery Flat
Median age of persons,47.0,Leigh Creek (Vic.)
Median total personal income ($/weekly),556.0,Leigh Creek (Vic.)
Median total family income ($/weekly),1375.0,Leigh Creek (Vic.)
Median total household income ($/weekly),1375.0,Leigh Creek (Vic.)
Median mortgage repayment ($/monthly),1678.0,Leigh Creek (Vic.)
Median rent ($/weekly)(a),260.0,Leigh Creek (Vic.)
Average number of persons per bedroom,0.7,Leigh Creek (Vic.)
Average household size,2.4,Leigh Creek (Vic.)
Median age of persons,53.0,Flagstaff
Median total personal income ($/weekly),484.0,Flagstaff
Median total family income ($/weekly),1625.0,Flagstaff
Median total household income ($/weekly),974.0,Flagstaff
Median mortgage repayment ($/monthly),1300.0,Flagstaff
Median rent ($/weekly)(a),235.0,Flagstaff
Average number of persons per bedroom,0.7,Flagstaff
Average household size,2.4,Flagstaff
Median age of persons,39.0,Milloo
Median total personal income ($/weekly),1031.0,Milloo
Median total family income ($/weekly),2083.0,Milloo
Median total household income ($/weekly),1958.0,Milloo
Median mortgage repayment ($/monthly),1517.0,Milloo
Median rent ($/weekly)(a),200.0,Milloo
Average number of persons per bedroom,0.7,Milloo
Average household size,2.3,Milloo
Median age of persons,51.0,Gower
Median total personal income ($/weekly),828.0,Gower
Median total family income ($/weekly),2083.0,Gower
Median total household income ($/weekly),1875.0,Gower
Median mortgage repayment ($/monthly),1733.0,Gower
Median rent ($/weekly)(a),300.0,Gower
Average number of persons per bedroom,0.8,Gower
