property_id,rental_price,bedrooms,bathrooms,car_spaces,property_type,land_area,property_features,suburb,postcode,year,quarter,age_0_to_19,age_20_to_39,age_40_to_59,age_60_plus,agency_name,agent_name,appointment_only,avg_days_on_market,description,family_percentage,features_list,first_listed_date,full_address,last_sold_date,listing_status,long_term_resident,median_rent_price,median_sold_price,number_sold,renter_percentage,schools,single_percentage,state_abbreviation,structured_features,unit_number,updated_date,url,coordinates
15511116.0,460 per week,2,2.0,1.0,townhouse,0.0,"2, ,2, ,1,",sale,3850,2023,06,,,,,,,,,,,,,"65 Thomson Street, Sale, VIC 3850",,,,,,,,,,,,,,1-63-65-thomson-street-sale-vic-3850-15511116,
16213632.0,490 per week,3,2.0,2.0,apartment  unit  flat,0.0,"3, ,2, ,2,",sale,3850,2023,06,,,,,,,,,,,,,"121 Marley Street, Sale, VIC 3850",,,,,,,,,,,,,,4-121-marley-street-sale-vic-3850-16213632,
16283797.0,400 per week,3,1.0,3.0,house,749.0,"3, ,1, ,3, 749,",sale,3850,2023,06,,,,,,,,,,,,,"Treloar Street, Sale, VIC 3850",,,,,,,,,,,,,,26-treloar-street-sale-vic-3850-16283797,
16338654.0,45000,3,1.0,3.0,house,0.0,"3, ,1, ,3,",sale,3850,2023,06,,,,,,,,,,,,,"Helen Crescent, Sale, VIC 3850",,,,,,,,,,,,,,15-helen-crescent-sale-vic-3850-16338654,
16405099.0,380 per week,3,1.0,1.0,house,0.0,"3, ,1, ,1,",sale,3850,2023,06,,,,,,,,,,,,,"Jackson Avenue, Sale, VIC 3850",,,,,,,,,,,,,,79-jackson-avenue-sale-vic-3850-16405099,
16416980.0,450 per week,3,1.0,2.0,house,377.0,"3, ,1, ,2, 377,",sale,3850,2023,06,,,,,,,,,,,,,"10 Darling Street, Sale, VIC 3850",,,,,,,,,,,,,,2-8-10-darling-street-sale-vic-3850-16416980,
16437455.0,250 per week,2,1.0,1.0,apartment  unit  flat,0.0,"2, ,1, ,1,",sale,3850,2023,06,,,,,,,,,,,,,"291 York Street, Sale, VIC 3850",,,,,,,,,,,,,,30-291-york-street-sale-vic-3850-16437455,
16441042.0,275 per week,2,1.0,,apartment  unit  flat,0.0,"2, ,1, ,,",sale,3850,2023,06,,,,,,,,,,,,,"291 York Street, Sale, VIC 3850",,,,,,,,,,,,,,21-291-york-street-sale-vic-3850-16441042,
16457455.0,65000,3,2.0,2.0,house,0.0,"3, ,2, ,2,",longford,3851,2023,06,,,,,,,,,,,,,"Seaspray Road, Longford, VIC 3851",,,,,,,,,,,,,,605-seaspray-road-longford-vic-3851-16457455,
16457676.0,42000,3,1.0,1.0,house,0.0,"3, ,1, ,1,",sale,3850,2023,06,,,,,,,,,,,,,"Thomson Street, Sale, VIC 3850",,,,,,,,,,,,,,66-thomson-street-sale-vic-3850-16457676,
16471237.0,480 per week,3,2.0,2.0,house,0.0,"3, ,2, ,2,",sale,3850,2023,06,,,,,,,,,,,,,"Melanie Court, Sale, VIC 3850",,,,,,,,,,,,,,8-melanie-court-sale-vic-3850-16471237,
16473880.0,440 per week,3,2.0,2.0,house,0.0,"3, ,2, ,2,",sale,3850,2023,06,,,,,,,,,,,,,"Kylie Court, Sale, VIC 3850",,,,,,,,,,,,,,1-kylie-court-sale-vic-3850-16473880,
16474565.0,400 per week,3,1.0,1.0,house,125.0,"3, ,1, ,1, 125,",wurruk,3850,2023,06,,,,,,,,,,,,,"Loughnan Court, Wurruk, VIC 3850",,,,,,,,,,,,,,14-loughnan-court-wurruk-vic-3850-16474565,
16478115.0,380 pw,3,1.0,2.0,house,0.0,"3, ,1, ,2,",paradise beach,3851,2023,06,,,,,,,,,,,,,"The Boulevard Paradise, Beach, VIC 3851",,,,,,,,,,,,,,58-the-boulevard-paradise-beach-vic-3851-16478115,
16480696.0,375 per week,3,1.0,1.0,house,588.0,"3, ,1, ,1, 588,",sale,3850,2023,06,,,,,,,,,,,,,"Dawson Street, Sale, VIC 3850",,,,,,,,,,,,,,144-dawson-street-sale-vic-3850-16480696,
16480752.0,300 per week  ,3,1.0,1.0,house,0.0,"3, ,1, ,1,",sale,3850,2023,06,,,,,,,,,,,,,"Mathieson Street, Sale, VIC 3850",,,,,,,,,,,,,,19-mathieson-street-sale-vic-3850-16480752,
16481930.0,395 per week,2,1.0,1.0,house,0.0,"2, ,1, ,1,",sale,3850,2023,06,,,,,,,,,,,,,"Raymond Street, Sale, VIC 3850",,,,,,,,,,,,,,484-raymond-street-sale-vic-3850-16481930,
14748407.0,950 per week,3,2.0,1.0,apartment  unit  flat,0.0,"3, ,2, ,1,",southbank,3006,2023,06,,,,,,,,,,,,,"22 Kavanagh Street, Southbank, VIC 3006",,,,,,,,,,,,,,112-22-kavanagh-street-southbank-vic-3006-14748407,
16415016.0,700 pw,2,2.0,1.0,apartment  unit  flat,0.0,"2, ,2, ,1,",southbank,3006,2023,06,,,,,,,,,,,,,"45 Clarke Street, Southbank, VIC 3006",,,,,,,,,,,,,,4306-45-clarke-street-southbank-vic-3006-16415016,
16420623.0,650 pw,2,2.0,1.0,apartment  unit  flat,0.0,"2, ,2, ,1,",southbank,3006,2023,06,,,,,,,,,,,,,"45 Clarke Street, Southbank, VIC 3006",,,,,,,,,,,,,,3302-45-clarke-street-southbank-vic-3006-16420623,
16428853.0,700 pw,2,2.0,1.0,apartment  unit  flat,0.0,"2, ,2, ,1,",southbank,3006,2023,06,,,,,,,,,,,,,"118 Kavanagh Street, Southbank, VIC 3006",,,,,,,,,,,,,,1809-118-kavanagh-street-southbank-vic-3006-16428853,
