school_name,education_sector,school_type,establishment_year,x,y,coordinates
Tyers Primary School,Government,Primary,2023,146.5,-38.1,POINT (146.5 -38.1)
Tungamah Primary School,Government,Primary,2023,145.9,-36.2,POINT (145.9 -36.2)
Trentham District Primary School,Government,Primary,2023,144.3,-37.4,POINT (144.3 -37.4)
Trawalla Primary School,Government,Primary,2023,143.5,-37.4,POINT (143.5 -37.4)
Traralgon South Primary School,Government,Primary,2023,146.5,-38.3,POINT (146.5 -38.3)
Traralgon College,Government,Secondary,2023,146.5,-38.2,POINT (146.5 -38.2)
Trafalgar High School,Government,Secondary,2023,146.2,-38.2,POINT (146.2 -38.2)
Toorloo Arm Primary School,Government,Primary,2023,148.1,-37.9,POINT (148.1 -37.9)
Tooradin Primary School,Government,Primary,2023,145.4,-38.2,POINT (145.4 -38.2)
Underbool Primary School,Government,Primary,2023,141.8,-35.2,POINT (141.8 -35.2)
Warrnambool College,Government,Secondary,2023,142.5,-38.4,POINT (142.5 -38.4)
Waubra Primary School,Government,Primary,2023,143.6,-37.4,POINT (143.6 -37.4)
Wedderburn College,Government,Pri/Sec,2023,143.6,-36.4,POINT (143.6 -36.4)
Yea High School,Government,Secondary,2023,145.4,-37.2,POINT (145.4 -37.2)
Yarrawonga College P-12,Government,Pri/Sec,2023,146.0,-36.0,POINT (146 -36)
Yarragon Primary School,Government,Primary,2023,146.1,-38.2,POINT (146.1 -38.2)
Yarra Glen Primary School,Government,Primary,2023,145.4,-37.6,POINT (145.4 -37.6)
Yandoit Primary School,Government,Primary,2023,144.1,-37.2,POINT (144.1 -37.2)
Yackandandah Primary School,Government,Primary,2023,146.8,-36.3,POINT (146.8 -36.3)
Wycheproof P-12 College,Government,Pri/Sec,2023,143.2,-36.1,POINT (143.2 -36.1)
Wurruk Primary School,Government,Primary,2023,147.0,-38.1,POINT (147 -38.1)
Wunghnu Primary School,Government,Primary,2023,145.4,-36.2,POINT (145.4 -36.2)
Worawa Aboriginal College,Independent,Special,2023,145.5,-37.7,POINT (145.5 -37.7)
Woolsthorpe Primary School,Government,Primary,2023,142.4,-38.2,POINT (142.4 -38.2)
Woodside Primary School,Government,Primary,2023,146.9,-38.5,POINT (146.9 -38.5)
Woodmans Hill Secondary College,Government,Secondary,2023,143.9,-37.6,POINT (143.9 -37.6)
Woodford Primary School,Government,Primary,2023,142.5,-38.3,POINT (142.5 -38.3)
Wollert Secondary College,Government,Secondary,2023,145.0,-37.6,POINT (145 -37.6)
Wodonga Middle Years College,Government,Pri/Sec,2023,146.9,-36.1,POINT (146.9 -36.1)
Winton Primary School,Government,Primary,2023,146.1,-36.5,POINT (146.1 -36.5)
Winchelsea Primary School,Government,Primary,2023,144.0,-38.2,POINT (144 -38.2)
Willow Grove Primary School,Government,Primary,2023,146.2,-38.1,POINT (146.2 -38.1)
Willaura Primary School,Government,Primary,2023,142.7,-37.5,POINT (142.7 -37.5)
Whorouly Primary School,Government,Primary,2023,146.6,-36.5,POINT (146.6 -36.5)
Whittlesea Secondary College,Government,Secondary,2023,145.1,-37.5,POINT (145.1 -37.5)
Whitfield District Primary School,Government,Primary,2023,146.4,-36.8,POINT (146.4 -36.8)
Western Port Secondary College,Government,Secondary,2023,145.2,-38.3,POINT (145.2 -38.3)
Western Heights Secondary College,Government,Secondary,2023,144.3,-38.1,POINT (144.3 -38.1)
Werrimull P-12 School,Government,Pri/Sec,2023,141.6,-34.4,POINT (141.6 -34.4)
Welshpool and District Primary School,Government,Primary,2023,146.4,-38.7,POINT (146.4 -38.7)
Toora Primary School,Government,Primary,2023,146.3,-38.7,POINT (146.3 -38.7)
Toolern Vale and District Primary School,Government,Primary,2023,144.6,-37.6,POINT (144.6 -37.6)
Toolamba Primary School,Government,Primary,2023,145.3,-36.5,POINT (145.3 -36.5)
St Patrick's School,Catholic,Primary,2023,147.1,-38.0,POINT (147.1 -38)
St Patrick's Primary School,Catholic,Primary,2023,144.9,-37.3,POINT (144.9 -37.3)
St Monica's School,Catholic,Primary,2023,144.2,-36.8,POINT (144.2 -36.8)
St Michael's School,Catholic,Primary,2023,144.2,-37.3,POINT (144.2 -37.3)
St Marys College Melbourne,Catholic,Secondary,2023,145.0,-37.9,POINT (145 -37.9)
St Peter's Lutheran School,Independent,Primary,2023,142.0,-36.5,POINT (142 -36.5)
St Thomas Aquinas College,Independent,Pri/Sec,2023,145.6,-38.1,POINT (145.6 -38.1)
St Thomas' School,Catholic,Primary,2023,142.9,-38.2,POINT (142.9 -38.2)
Tooborac Primary School,Government,Primary,2023,144.8,-37.0,POINT (144.8 -37)
Timboon P-12 School,Government,Pri/Sec,2023,143.0,-38.5,POINT (143 -38.5)
The Lakes South Morang College,Government,Pri/Sec,2023,145.1,-37.6,POINT (145.1 -37.6)
The Geelong College,Independent,Pri/Sec,2023,144.3,-38.2,POINT (144.3 -38.2)
Tempy Primary School,Government,Primary,2023,142.4,-35.3,POINT (142.4 -35.3)
Teesdale Primary School,Government,Primary,2023,144.1,-38.0,POINT (144.1 -38)
Tawonga Primary School,Government,Primary,2023,147.1,-36.7,POINT (147.1 -36.7)
Tarwin Lower Primary School,Government,Primary,2023,145.9,-38.7,POINT (145.9 -38.7)
Tarrington Lutheran School,Independent,Primary,2023,142.1,-37.8,POINT (142.1 -37.8)
Tarneit Rise Primary School,Government,Primary,2023,144.7,-37.8,POINT (144.7 -37.8)
Tarnagulla Primary School,Government,Primary,2023,143.8,-36.8,POINT (143.8 -36.8)
Taradale Primary School,Government,Primary,2023,144.4,-37.1,POINT (144.4 -37.1)
Tanjil South Primary School,Government,Primary,2023,146.3,-38.1,POINT (146.3 -38.1)
Tambo Upper Primary School,Government,Primary,2023,147.8,-37.8,POINT (147.8 -37.8)
Tallarook Primary School,Government,Primary,2023,145.1,-37.1,POINT (145.1 -37.1)
Tallangatta Secondary College,Government,Secondary,2023,147.2,-36.2,POINT (147.2 -36.2)
Talgarno Primary School,Government,Primary,2023,147.2,-36.1,POINT (147.2 -36.1)
Talbot Primary School,Government,Primary,2023,143.7,-37.2,POINT (143.7 -37.2)
